aic_code,ean_code,name,active_ingredient,form,dosage,atc_code,manufacturer,package_desc,is_otc,requires_prescription
000000001,0433218196003,TACHIPIRINA 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Novartis Farma S.p.A.,20 compresse,true,false
000000002,8908386379401,TACHIPIRINA 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,AstraZeneca S.p.A.,30 compresse,true,false
000000003,5423511615597,TACHIPIRINA 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Recordati S.p.A.,16 compresse,true,false
000000004,7816184959316,TACHIPIRINA 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Teva Italia S.r.l.,10 compresse,true,false
000000005,4131647525536,TACHIPIRINA 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Chiesi Farmaceutici S.p.A.,50 compresse,true,false
000000006,1928327648356,TACHIPIRINA 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,EG S.p.A.,20 compresse,true,false
000000007,0564139537672,TACHIPIRINA 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Roche S.p.A.,30 compresse,true,false
000000008,3884969653289,TACHIPIRINA 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Fidia Farmaceutici S.p.A.,16 compresse,true,false
000000009,0122691669783,TACHIPIRINA 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Recordati S.p.A.,10 compresse,true,false
000000010,0184514627042,TACHIPIRINA 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Pharmos S.p.A.,50 compresse,true,false
000000011,8148932528802,TACHIPIRINA 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Bristol-Myers Squibb S.r.l.,20 compresse,true,false
000000012,0154303911713,TACHIPIRINA 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Biogen Italia S.r.l.,30 compresse,true,false
000000013,2782489638346,TACHIPIRINA 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Viatris Italia S.r.l.,16 compresse,true,false
000000014,5787133150981,TACHIPIRINA 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Boehringer Ingelheim Italia S.p.A.,10 compresse,true,false
000000015,0103105183477,TACHIPIRINA 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Takeda Italia S.p.A.,50 compresse,true,false
000000016,9973763116565,EFFERALGAN 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Almirall S.p.A.,20 compresse,true,false
000000017,0106513338729,EFFERALGAN 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Pierre Fabre Italia S.p.A.,30 compresse,true,false
000000018,7317810801325,EFFERALGAN 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Almirall S.p.A.,16 compresse,true,false
000000019,3602606474680,EFFERALGAN 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Fidia Farmaceutici S.p.A.,10 compresse,true,false
000000020,4309805009789,EFFERALGAN 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Farmitalia S.r.l.,50 compresse,true,false
000000021,8121913619393,EFFERALGAN 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Bristol-Myers Squibb S.r.l.,20 compresse,true,false
000000022,,EFFERALGAN 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Novartis Farma S.p.A.,30 compresse,true,false
000000023,9985435346248,EFFERALGAN 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Alfasigma S.p.A.,16 compresse,true,false
000000024,1079911838421,EFFERALGAN 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Zentiva Italia S.r.l.,10 compresse,true,false
000000025,3542784980842,EFFERALGAN 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Sanofi S.r.l.,50 compresse,true,false
000000026,2411824493530,EFFERALGAN 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Recordati S.p.A.,20 compresse,true,false
000000027,4016400524271,EFFERALGAN 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Amgen S.r.l.,30 compresse,true,false
000000028,8011280598264,EFFERALGAN 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,GSK S.p.A.,16 compresse,true,false
000000029,,EFFERALGAN 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Aurobindo Pharma S.r.l.,10 compresse,true,false
000000030,0533158692327,EFFERALGAN 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,MSD Italia S.r.l.,50 compresse,true,false
000000031,0256342160739,PANADOL 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Abbvie S.r.l.,20 compresse,true,false
000000032,7543303654141,PANADOL 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Zentiva Italia S.r.l.,30 compresse,true,false
000000033,6850142940191,PANADOL 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Pierre Fabre Italia S.p.A.,16 compresse,true,false
000000034,5698169340607,PANADOL 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Farmitalia S.r.l.,10 compresse,true,false
000000035,8356159514847,PANADOL 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Almirall S.p.A.,50 compresse,true,false
000000036,4823662994687,PANADOL 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Angelini Pharma S.r.l.,20 compresse,true,false
000000037,3699577738729,PANADOL 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Novartis Farma S.p.A.,30 compresse,true,false
000000038,9513433200370,PANADOL 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Astellas Pharma S.p.A.,16 compresse,true,false
000000039,1769367632017,PANADOL 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Pierre Fabre Italia S.p.A.,10 compresse,true,false
000000040,8708317278892,PANADOL 1000 mg COMPRESSE,paracetamolo,compressa,1000 mg,N02BE01,Bracco S.p.A.,50 compresse,true,false
000000041,7986872774344,PANADOL 500 mg COMPRESSE,paracetamolo,compressa,500 mg,N02BE01,Farmitalia S.r.l.,20 compresse,true,false
